song, acoustic, dance, energy, inst, loud, speech, valence, tempo, bassmusic, breakbeat, disco, downtempo, dnb, erock, jungle, hardcore, hardstyle, hauntology, hip hop fusion, trap, house, industrial, techno, trance, uk garage
S.H.A.M.E - Gost,0.114,0.384,0.772,0,-4.358,0.311,0.239,73.735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shambles - Hold U Close,0.00298,0.583,0.938,0.00329,-3.812,0.274,0.269,150.163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOIXES Gidexen & M.I.M.E - Louis,0.0401,0.559,0.903,0.0995,-4.958,0.219,0.356,160.023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweepz - Battle,0.0137,0.648,0.811,0.413,-4.565,0.0536,0.314,75.002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.I.M.E mylky & Taw - Renegades (W.A.V & Nin9 Remix),0.0188,0.629,0.907,8.98e-06,-4.357,0.276,0.349,76.508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Dreisig - In My Head ,0.173,0.623,0.933,0.0717,-3.52,0.124,0.168,82.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkum - Hurts ,0.131,0.326,0.646,6.74e-06,-3.192,0.0563,0.292,150.118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDMS - Bad Trouble ,0.00537,0.519,0.914,0.843,-8.462,0.104,0.277,150.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onur Ormen - Sahara ,0.0362,0.603,0.885,0.806,-8.489,0.0763,0.505,150.045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryJaxx - Ponder ,0.000146,0.653,0.93,0.286,-3.851,0.0395,0.319,149.993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
