song,bassmusic,breakbeat,disco,downtempo,dnb,erock,jungle,hardcore,hardstyle,hauntology,hip hop fusion,trap,house,industrial,techno,trance,uk garage
S.H.A.M.E - Gost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shambles - Hold U Close,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2Scratch feat TAOG - Ballin ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOIXES Gidexen & M.I.M.E - Louis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweepz - Battle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.I.M.E mylky & Taw - Renegades (W.A.V & Nin9 Remix),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Dreisig - In My Head ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkum - Hurts ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDMS - Bad Trouble ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onur Ormen - Sahara ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryJaxx - Ponder ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.P.O - Gunshots ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trias M.I.M.E & Calli Boom - Flexin ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kate Ryan - Ella Elle L'a (BreakBeat Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombo - Gods,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detach - I'm Not (The Colombo Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funk U - Feel da Beat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Too Dusty - Funk & Destroy (Stonewash Remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deekline & Ed Solo - Countdown (Lunathics remix),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombo - Clap ya Hands!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
